ID,Name,Station,FirstCategory,SecondCategory,TotalRating
171,Sumibikushiyakitsujiya  ,Kawaramachi,Yakitori (Grilled chicken),Izakaya (Tavern),3.05
172,Tenshinchashitsu  ,Kyoto,Shanghai Cuisine,Cantonese Cuisine,3.54
173,Haiborubakyoutokarasumaichikyuuniisan  ,Karasuma,Bar,Bar,3.22
174,Oumigyuuyakinikumeitokuya  ,Jujo,Yakiniku (BBQ Beef),NA,3
175,Mukadeya  ,Karasuma,Kyoto Cuisine,Japanese food (other),3.07
176,Hanagokoro  ,Hanazono,Kyoto Cuisine,Shojin Cuisine (Buddhist Cuisine),3.08
177,Rakuza  ,Kyoto,Izakaya (Tavern),Seafood,3.22
178,Monakadou  ,Kawaramachi,Izakaya (Tavern),Creative cuisine,3.07
179,kyoutoayanokoujimangetsunohana  ,Karasuma,Sweets,Japanese food (other),3.26
180,shunsaibaruiberiko  ,Sanjo,Dining bar,Creative cuisine,3.05
181,Ikiikiudon  ,Karasuma Oike,Udon,Japanese food (other),3.18
182,zasera-kyouto  ,Kyoto Shiyakusho Mae,Dining bar,Kappo (Traditional Japanese),3.05
183,Daikokuebisu  ,Saiin,Yakiniku (BBQ Beef),Korean cuisine,3.06
184,kaitoshirowainnobarukakimaru  ,Kyoto,Bar,Italian,3
185,chisouyouga  ,Gojo,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.63
186,Kushiyamonogatari  ,Kyoto,Kushi-age (Fried Skewer),Izakaya (Tavern),3
187,nihonshubarujinsuke  ,Karasuma,Izakaya (Tavern),Seafood,3.05
188,Hanatanuki  ,Nishioji Oike,Izakaya (Tavern),Okonomiyaki,3.01
189,izakayaba-shiba  ,Gion Shijo,Izakaya (Tavern),Japanese food (other),3.03
190,Satsumagokamon  ,Karasuma,Izakaya (Tavern),Sukiyaki,3.07
191,Kyoutoyamanashiyakitorikanazawa  ,Keihan Yamashina,Izakaya (Tavern),Yakitori (Grilled chicken),3.06
192,Himiko  ,Higashi Maizuru,Izakaya (Tavern),Seafood,3.12
193,koshitsuichiammasamunebettei  ,Gion Shijo,Izakaya (Tavern),Dining bar,3.06
194,CHULETA  ,Gion Shijo,Spain,Bar,3.58
195,GRILL&PUB The NICK STOCK  ,Sanjo,Steak,Bar,3
196,Choushuuryourikyoumon  ,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.07
197,Brochette  ,Karasuma Oike,Western (Others),French,3.55
198,Ilifune  ,Jingu Marutamachi,Dining bar,Italian,3.06
199,Satsuki  ,Kyoto Shiyakusho Mae,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.51
200,Kaitoshirowainnobarukakimaru  ,Saiin,Bar,Izakaya (Tavern),3.04
201,Sandaimetorimero  ,Shijo,Izakaya (Tavern),Yakitori (Grilled chicken),3
202,Furenchibado  ,Kyoto Shiyakusho Mae,French,Bistro,3.06
203,BISTRO BAR A VIN  C  ,Shijo,Bistro,Seafood,3.51
204,Figerasu  ,Karasuma,Spain,Bar,3.04
205,Sorekaraayanokouji  ,Shijo,Izakaya (Tavern),Japanese food (other),3
206,nikugaumaikafenikkusutokku  ,Toji,Cafe,Steak,3.19
207,Teppankushiyakisakura  ,Chushojima,Izakaya (Tavern),Teppanyaki,3.05
208,TORIBUN  ,Kawaramachi,Izakaya (Tavern),Yakitori (Grilled chicken),3.02
209,Supuringubareburuwarikyouto  ,Kawaramachi,Dining bar,Cafe,3.53
210,Bistro SUMIRE Chinese   ,Gion Shijo,Chinese,Dim sum,3.35
211,Bisutoroemuiaru  ,Gion Shijo,Bistro,Italian,3.48
212,Daitouryou  ,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.08
213,Nagomijun  ,Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.15
214,Hiroya  ,Kurama,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.59
215,Kenedhikurabu  ,Sanjo,Bar,Italian,3.04
216,zensekikoshitsuizakayataketorinoneiro  ,Kyoto,Izakaya (Tavern),Seafood,3
217,Miho  ,Shijo Omiya,Izakaya (Tavern),Okinawan Cuisine,3.12
218,Chabana  ,Kyoto,Okonomiyaki,Izakaya (Tavern),3.01
219,Akayashiro  ,Tambaguchi,Horumon (BBQ Offel),Yakiniku (BBQ Beef),3.52
220,Sousakukoshitsuizakayasugiurakyoutoekimaeshichijouten  ,Shichijo,Izakaya (Tavern),Seafood,3.18
221,Sakanayariichi  ,Keihan Yamashina,Izakaya (Tavern),Seafood,3.05
222,yasaidainingukusushi  ,Sanjo,Vegetable dishes,Izakaya (other),3.05
223,nikuyanodaidokoro  ,Sanjo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3
224,Miyagawachousaka  ,Gion Shijo,Italian,French,3.09
225,Kashiwa  ,Gion Shijo,Yakitori (Grilled chicken),Fowl,3.06
226,Iorisantouka  ,Emmachi,Izakaya (Tavern),Kyoto Cuisine,3.05
227,Kyuushuunecchuuya  ,Katsura,Izakaya (Tavern),Dumplings,3.03
228,kyoutokushidokoroazumaya  ,Sanjo,Yakitori (Grilled chicken),Izakaya (Tavern),3
229,Chizutakkarubitonichinandorisachi  ,Saiin,Izakaya (Tavern),Bar,3.04
230,Shunsaifujii  ,Kitaoji,Kappo (Traditional Japanese),Kaiseki (Traditional Japanese),3.35
231,Hitotose  ,Kyoto,Japanese food (other),Izakaya (Tavern),3
232,Bairan  ,Katsuragawa,Chinese,Dim sum,3.12
233,Setsugekka  ,Kyoto Shiyakusho Mae,Bar,Lounge,3.13
234,yakinikutobi-ruichibakouji  ,Karasuma,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.06
235,Sandaimetorimero  ,Shijo Omiya,Izakaya (Tavern),Yakitori (Grilled chicken),3.04
236,zensekikoshitsuizakayatsukinokakehashi  ,Kyoto,Izakaya (Tavern),Regional Cuisine (Other),3
237,tounyuutonshabutoratarou  ,Shijo,Kaiseki (Traditional Japanese),Shabu Shabu (Japanese Steamboat),3
238,Dainingunagomi  ,Keihan Yamashina,Izakaya (Tavern),Japanese food (other),3
239,Mossannobetayaki  ,Sai,Okonomiyaki,Horumon (BBQ Offel),3.51
240,gionnotonjiruyasanadachiya  ,Gion Shijo,Regional Cuisine (Other),Nihonshu (Japanese sake),3.15
241,Gottie'sBEEF  ,Gion Shijo,Steak,Yakiniku (BBQ Beef),3.09
242,pasutakorekushonandoba-dougetsuneo  ,Shijo,Izakaya (Tavern),Pasta,3.43
243,Shougetsu  ,Kawaramachi,Okonomiyaki,Teppanyaki,3.08
244,Kampaiboupuruda  ,Sanjo,Korean cuisine,Yakiniku (BBQ Beef),3
245,teppandainingugionshou  ,Karasuma,Izakaya (Tavern),Italian,3.03
246,Sajiki  ,Karasuma,Izakaya (Tavern),Japanese food (other),3
247,gansochiriteppanyakimotsunabeakachiriya  ,Kyoto,Motsu Nabe (Offel Hot Pot),Izakaya (Tavern),3.02
248,Nikumon  ,Omiya,Yakiniku (BBQ Beef),Izakaya (Tavern),3
249,pontochouyakinikuyaruki  ,Sanjo,Yakiniku (BBQ Beef),Bar,3.06
250,BAR-CERVECERIA xativa  ,Kyoto Shiyakusho Mae,Spain,Bar,3.45
251,Ginnan  ,Kyoto,Izakaya (Tavern),Tofu,3.05
252,Kyuushuunecchuuya  ,Fushimi Momoyama,Izakaya (Tavern),Dumplings,3
253,konken  ,Kawaramachi,Thailand cooking,Izakaya (Tavern),3.12
254,Yakinikuhorumonanju  ,Karasuma,Yakiniku (BBQ Beef),Korean cuisine,3
255,Yamabanaheihachidiya  ,Shugakuin,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.56
256,Idutsuya  ,Karasuma Oike,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.28
257,Kyouyoushokumatsumoto  ,Karasuma,Western Cuisine,French,3.33
258,Ashuckurk  ,Demachiyanagi,Bistro,Bar,3
259,ITALIAN BAR MODERNTIMES  ,Marutamachi,Italian,Pizza,3.29
260,Aiyoxtsu  ,Karasuma Oike,Kushi-age (Fried Skewer),Izakaya (Tavern),3.05
261,Chanchi  ,Kyoto,Korean cuisine,Izakaya (Tavern),3.46
262,SHUKURA  ,Sanjo,Bar,Nihonshu (Japanese sake),3.06
263,mikusoroji-ba-sumu-su  ,Gion Shijo,Bar,Dining bar,3.05
264,Kinugawa  ,Gojo,Kappo (Traditional Japanese),Shabu Shabu (Japanese Steamboat),3.42
265,Momojirou  ,Demachiyanagi,Izakaya (Tavern),Seafood,3.01
266,daikouen  ,Tambaguchi,Yakiniku (BBQ Beef),Korean cuisine,3.21
267,Gounotora  ,Shijo,Izakaya (Tavern),Nihonshu (Japanese sake),3.16
268,Bejotamuamua  ,Karasuma Oike,Bar,Western (Others),3.1
269,Ichibakouji  ,Kawaramachi,Izakaya (Tavern),Steak,3.51
270,shioriyaichie  ,Kyoto Shiyakusho Mae,Izakaya (Tavern),Nihonshu (Japanese sake),3.07
271,Kitayama  ,Gion Shijo,Hot Pot (other),Kyoto Cuisine,3.02
272,Tempurashinjukutsunahachi  ,Kawaramachi,Tempura,Kaiseki (Traditional Japanese),3.02
273,yakinikuajidouraku  ,Higashi Maizuru,Yakiniku (BBQ Beef),Seafood,3.06
274,IL TOBANCHI  ,Karasuma Oike,Bar,Italian,3.18
275,Shikinoajisugiura  ,Karasuma,Izakaya (Tavern),Seafood,3.15
276,Kyoutoyakitoriseisakujo  ,Kawaramachi,Yakitori (Grilled chicken),Fowl,3.29
277,arashiyamakushibun  ,Shijo,Kushi-age (Fried Skewer),Izakaya (Tavern),3.21
278,Toriasa  ,Karasuma,Izakaya (Tavern),Yakitori (Grilled chicken),3.09
279,zensekikoshitsuizakayawazakurahitohira  ,Kyoto,Izakaya (Tavern),Seafood,3.02
280,saredowa  ,Kyoto,Izakaya (Tavern),Creative cuisine,3.38
281,gyokouchokusoukaisensakabaanji  ,Kawaramachi,Izakaya (Tavern),Seafood,3.53
282,Rejon  ,Kawaramachi,French,Bistro,3.4
283,Maruichi  ,Sanjo,Yakiniku (BBQ Beef),Korean cuisine,3.02
284,Osakenobijutsukan  ,Kyoto Shiyakusho Mae,Bar,Dining bar,3.06
285,wainandooyasaibarubejibaru  ,Shijo,Italian,Wine bar,3.51
286,kaitoshirowainnobarukakimaru  ,Kawaramachi,Bar,Izakaya (Tavern),3.31
287,Yudoufutakemura  ,Arashiyama,Tofu,Yuba,3.5
288,ajiromanishigamatei  ,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,3.12
289,Giombansankyoushoku  ,Gion Shijo,Izakaya (Tavern),Tempura,3
290,Kyouhorumonhana  ,Kujo,Izakaya (Tavern),Horumon (BBQ Offel),3.06
291,Bar PLAYGROUND  ,Imadegawa,Bar,Wine bar,3.06
292,Kyameron  ,Kawaramachi,Steak,French,3.07
293,Sumibikazuya  ,Kawaramachi,Izakaya (Tavern),Seafood,3.51
294,Kandumebaruamichi  ,Karasuma,Bar,Izakaya (Tavern),3.05
295,Ikkakujuu  ,Shijo,Izakaya (Tavern),Teppanyaki,3.29
296,Jounetsushokusaikyoushoku  ,Kawaramachi,Seafood,Kyoto Cuisine,3.08
297,Yakinikumarutomi  ,Kawaramachi,Yakiniku (BBQ Beef),Izakaya (Tavern),3.06
298,toriiebisu  ,Kyoto,Seafood,Izakaya (Tavern),3.51
299,Kyoutokeburikawa  ,  Kameoka,Ryokan,Auberge,3.42
300,Gionyamamoto  ,Gion Shijo,Kaiseki (Traditional Japanese),Kyoto Cuisine,3.06
301,Kappouyoshizen  ,Gion Shijo,Kappo (Traditional Japanese),Kaiseki (Traditional Japanese),3.58
302,Nikuryouritobatoyo  ,Karasuma,Beef dishes,Wine bar,3.04
303,jikidoukagura  ,Nijojo Mae,Kappo (Traditional Japanese),Izakaya (Tavern),3.04
304,itaria-nasagura  ,Gion Shijo,Italian,Wine bar,3.59
305,Puranchaken  ,Gion Shijo,Steak,Creative cuisine,3.53
306,Bansankyoushoku  ,Karasuma,Yakitori (Grilled chicken),Izakaya (Tavern),3.31
307,Azuki  ,Keihan Yamashina,Izakaya (Tavern),Seafood,3
308,Ichibakouji  ,Kyoto,Dining bar,Creative cuisine,3.5
309,Sumikatominokouji  ,Kawaramachi,Izakaya (Tavern),Seafood,3.52
310,zensekikoshitsuizakayasakurakomachi  ,Kawaramachi,Izakaya (Tavern),Seafood,3
311,Imomatsu  ,Kyoto,Izakaya (Tavern),Motsu Nabe (Offel Hot Pot),3.07
312,Rakuchin  ,Gion Shijo,Kushi-age (Fried Skewer),Japanese food (other),3.31
313,Mogu piatti  ,Karasuma Oike,Italian,Bar,3.04
314,sute-kihausupondo  ,Kawaramachi,Steak,Western Food (Other),3.31
315,Taichirouya  ,Nishikyogoku,Izakaya (Tavern),Seafood,3.05
316,Yakinikuhorumongyuuteruryourianiki  ,Shijo Omiya,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.14
317,shioriya  ,Shijo,Izakaya (Tavern),Seafood,3.01
318,Bar MICHIya  ,Sanjo,Bar,Bar,3.26
319,Kushidainigusumiyakiromanya  ,Shijo,Izakaya (Tavern),Yakitori (Grilled chicken),3.03
320,Daniel's Luce   ,Kyoto,Italian,NA,3.04
321,Trattoria La Voce  ,Karasuma,Italian,Pasta,3.5
322,Saketosakanatootokomaeshokudou  ,Kyoto,Izakaya (Tavern),Seafood,3
323,Karyou  ,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.68
324,Kyoutotawahoteruokujoubiagaden  ,Kyoto,Beer garden,BBQ,3.04
325,kyouchabana  ,Kyoto,Okonomiyaki,Izakaya (Tavern),3.12
326,giwonizakayamomojirou  ,Gion Shijo,Izakaya (Tavern),Seafood,3.04
327,zeppinryokuchadashishabunoomiseiemon  ,Kyoto,Izakaya (Tavern),Japanese food (other),3.06
328,Kyo gastronomy KOZO  ,Marutamachi,French,Kyoto Cuisine,3.06
329,Teramachihambagugokurakutombo  ,Kyoto Shiyakusho Mae,Hamburger Steak,Western Cuisine,3.04
330,Karasumarugenkiichiba  ,Karasuma Oike,Izakaya (Tavern),Seafood,3.04
331,Ikkon  ,Nijojo Mae,Kappo (Traditional Japanese),NA,3.06
332,Taketorineo  ,Kuramaguchi,Izakaya (Tavern),Yakitori (Grilled chicken),3.15
333,kyouyasaitosousakuryourinakaya  ,Saiin,Izakaya (Tavern),Dandan noodles,3.04
334,Grelot  ,Gion Shijo,French,Western Cuisine,3.45
335,kyoutoteppantachibana  ,Shijo,Teppanyaki,Okonomiyaki,3.03
336,Itameshioriva  ,Gion Shijo,Italian,Bar,3.27
337,CRAFT BEER & PIZZA 100K HYAKKEI  ,Kyoto,Italian,Pizza,3
338,Shunsaidaininguitokoya  ,Sanjo,Izakaya (Tavern),Vegetable dishes,3.06
339,Izakayaanji  ,Karasuma Oike,Izakaya (Tavern),Seafood,3.45
340,Bankokugaden  ,Marutamachi,Thailand cooking,Thai Curry,3.08
341,Yakinikubaruyaruki  ,Kawaramachi,Yakiniku (BBQ Beef),Bar,3.06
342,Osuteriaebaruporenta  ,Kawaramachi,Italian,Wine bar,3.53
343,Tajimaya  ,Kyoto,Shabu Shabu (Japanese Steamboat),Sukiyaki,3
344,Torisei  ,Kyoto,Izakaya (Tavern),Yakitori (Grilled chicken),3.16
345,Old School wine and spirits  ,Kyoto Shiyakusho Mae,Dining bar,Bar,3.06
346,Tsubakurosupponshokudou  ,Sanjo,Suppon (Soft-shelled Turtle),Hot Pot (other),3.09
347,Rudensu  ,Marutamachi,Italian,Vegetable dishes,3.46
348,zensekikoshitsuizakayataketorigoten  ,Keihan Yamashina,Izakaya (Tavern),Yakitori (Grilled chicken),3
349,Arata  ,Omiya,Okonomiyaki,Teppanyaki,3.3
350,Hachisei  ,Tambaguchi,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.02
351,Sentojemusukurabu  ,Gion Shijo,Bar,NA,3.09
352,Kyoutonishikitempurasakabataneshichi  ,Karasuma,Tempura,Izakaya (Tavern),3.06
353,Roti Chicken&Jackie Tacos  ,Shijo,Mexico cuisine,Bar,3.53
354,Gurugurudon  ,Nijo,Okonomiyaki,Teppanyaki,3.05
355,Rohan  ,Karasuma,Izakaya (Tavern),Seafood,3.05
356,Jukuseiyakinikupondo  ,Kyoto,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.13
357,kyoumachiyaitarianronkusu  ,Kawaramachi,Italian,Sumibiyaki,3
358,Shunkouhinaka  ,Gion Shijo,Kappo (Traditional Japanese),Kyoto Cuisine,3.05
359,Fujiwara  ,Gion Shijo,Kappo (Traditional Japanese),Kyoto Cuisine,3.55
360,Tarou  ,Imadegawa,Kappo (Traditional Japanese),Seafood,3.02
361,Osakekafepuchipuchi  ,Kawaramachi,Nihonshu (Japanese sake),Cafe,3.05
362,MAWARI  ,Kawaramachi,Yakiniku (BBQ Beef),Korean cuisine,3
363,Oumiyaseiemon  ,Marutamachi,European-style Curry,Curry rice,3.54
364,Sanji  ,Marutamachi,Izakaya (Tavern),Japanese food (other),3.05
365,Kyouryourimaiko  ,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.01
366,waingurashiori  ,Kyoto,Wine bar,Izakaya (Tavern),3
367,HOMURA  ,Sai,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.28
368,Wine Bar Musée  ,Karasuma,Wine bar,Italian,3.21
369,Gokoumachiono  ,Kawaramachi,Izakaya (Tavern),Oden,3.22
370,Hamachou  ,Sanjo,Kaiseki (Traditional Japanese),Izakaya (Tavern),3.47
371,osakenobijutsukankyoutosanjoukarasumaretoropabu  ,Karasuma Oike,Bar,Pub,3.07
372,Sumibiyakinikuou  ,Nishioji Sanjo,Korean cuisine,Yakiniku (BBQ Beef),3.06
373,Kichiri  ,Kawaramachi,Izakaya (Tavern),Dining bar,3.02
374,kyouyakiyomizuhonke  ,Karasuma,Izakaya (Tavern),Kyoto Cuisine,3.41
375,Itariankuatoro  ,Kyoto,Italian,NA,3.04
376,fu-zuba-shioriya  ,Fushimi Momoyama,Izakaya (Tavern),Seafood,3.08
377,SinSin  ,Shijo,Bar,Chinese,3.14
378,Kyoukarasuma  ,Marutamachi,Kappo (Traditional Japanese),Shabu Shabu (Japanese Steamboat),3.04
379,konana  ,Karasuma,Pasta,Cafe,3
380,Eijuan  ,Kyoto,Kyoto Cuisine,Kaiseki (Traditional Japanese),3
381,Youfuushuzenumakarou  ,Higashi Muko,Izakaya (Tavern),Dining bar,3
382,kyoutogyuukaisekiinayoshi  ,Gion Shijo,Kaiseki (Traditional Japanese),Beef dishes,3.52
383,Sumibikushiyakitsujiya  ,Marutamachi,Yakitori (Grilled chicken),Izakaya (Tavern),3.19
384,Koji  ,Nijojo Mae,Western Cuisine,Buffet style,3.21
385,Iharada  ,Tambaguchi,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.91
386,gionkurashita  ,Gion Shijo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.39
387,Furenchimanjunia  ,Shijo,Bistro,Seafood,3.39
388,Kaisen  ,Kawaramachi,Izakaya (Tavern),Seafood,3.04
389,Karibunoutage  ,Okubo,Yakitori (Grilled chicken),Kushi-age (Fried Skewer),3.03
390,Teppou  ,Fushimi,Izakaya (Tavern),Hot Pot (other),3.06
391,Kyouryouriyumekaisekitaniguchi  ,Marutamachi,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.51
392,Kinnotsubasaerudoru  ,Karasuma,Izakaya (Tavern),Korean cuisine,3
393,Umekoujikorabo  ,Tambaguchi,Italian,Pasta,3.06
394,Yoshina  ,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.51
395,Zakicchinsaruvatorekuomo  ,Kyoto,Italian,Cafe,3.49
396,Kyounosakanakatsugi  ,Gion Shijo,Kappo (Traditional Japanese),Seafood,3.06
397,Kawamuraryourihei  ,Kawaramachi,Izakaya (Tavern),Japanese food (other),3.07
398,Kyoutokimurayahonten  ,Kyoto,Izakaya (Tavern),Motsu Nabe (Offel Hot Pot),3
399,Kyouyakiyomizu  ,Kawaramachi,Izakaya (Tavern),Kyoto Cuisine,3.3
400,Tsushima  ,Shijo Omiya,Izakaya (Tavern),Seafood,3.5
401,Sherikurabu  ,Gion Shijo,Bar,Spain,3.39
402,kaisekifuransuryourigurumantachibana  ,Kyoto,French,Western Cuisine,3.18
403,THE ROCKIN' HEARTS  ,Uji,Dining bar,Curry rice,3.07
404,wainshokudouumiusagi  ,Karasuma,Italian,Wine bar,3.13
405,Soufuku  ,Sanjo,Steak,Teppanyaki,3.03
406,Baruagiyao  ,Gojo,Bar,Seafood,3.57
407,Danieruzusore  ,Karasuma,Italian,Pizza,3.21
408,Shuuhou  ,Kujo,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.06
409,Amakudoparadhikambaikan  ,Imadegawa,Cafe,Italian,3.39
410,Shikisaishiwori  ,Gion Shijo,Kyoto Cuisine,Seafood,3.2
411,Kyouwazentainotai  ,Karasuma,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.42
412,Nagamegawapontochouhana  ,Gion Shijo,Kaiseki (Traditional Japanese),Tofu,3.56
413,mekishikandaininguabokado  ,Sanjo,Mexico cuisine,Cafe,3.14
414,nikubaruginjirou  ,Kyoto,Bar,Steak,3.49
415,Kyoutofushimigura  ,Karasuma,Izakaya (Tavern),Seafood,3.05
416,yakinikuyaruki  ,Saiin,Yakiniku (BBQ Beef),Izakaya (Tavern),3
417,yakinikuyaruki  ,Sanjo,Yakiniku (BBQ Beef),Izakaya (Tavern),3.04
418,Aburiya  ,Nishikyogoku,Yakiniku (BBQ Beef),Izakaya (Tavern),3.15
419,nikudokoroikkou  ,Marutamachi,Yakiniku (BBQ Beef),Korean cuisine,3.04
420,yakinikuyaruki  ,Fushimi,Yakiniku (BBQ Beef),Izakaya (Tavern),3.02
421,LOBUTA  ,Mototanaka,Izakaya (Tavern),Korean cuisine,3.05
422,OICHO  ,Kiyomizu Gojo,Fowl,Hot Pot (other),3.09
423,teppanyakiaoi  ,Kyoto,Teppanyaki,Japanese food (other),3.09
424,yakinikuyaruki  ,Nagitsuji,Yakiniku (BBQ Beef),Korean cuisine,3.01
425,Kyoutosakabaakamaru  ,Omiya,Izakaya (Tavern),NA,3.45
426,Sara Sara  ,Shijo,Izakaya (Tavern),Dumplings,3.06
427,Southern Court  ,Kyoto,Dining bar,Western (Others),3.58
428,Gionshimmonsou  ,Sanjo Keihan,Ryokan,Kaiseki (Traditional Japanese),3.03
429,Tenkanoyakinikudaishougun  ,Omiya,Yakiniku (BBQ Beef),Korean cuisine,3.2
430,il pozzo  ,Karasuma Oike,Italian,Pasta,3.1
431,kyouryouriuryuu  ,Sanjo,Kaiseki (Traditional Japanese),Fugu (Blowfish),3.23
432,Rakusenrou  ,Karasuma,Chinese,Izakaya (Tavern),3.5
433,Kishouzakura  ,Kiyomizu Gojo,French,Creative cuisine,3.31
434,ryoushigoya  ,Nishi Maizuru,Izakaya (Tavern),Seafood,3.39
435,nikubarudakara  ,Karasuma,Izakaya (Tavern),Steak,3.04
436,BARVIDA  ,Katsuragawa,Dining bar,Teppanyaki,3.04
437,kafeandodainingubambi  ,Kyoto Shiyakusho Mae,Italian,Cafe,3.19
438,Erudoru  ,Matsugasaki,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.09
439,Ippinhashinaga  ,Karasuma,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.51
440,Nabetoshunsaitokyouryourikaryuu  ,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.48
441,kafeandodainingubambikarasuma  ,Karasuma,Italian,Cafe,3.06
442,Thiemuanfonvietto  ,Karasuma Oike,Viet Nam cuisine,Asian & ethnic cuisine (and others),3.41
443,Kurepurikyoutoshanderu  ,Karasuma,Crepes,Cafe,3.53
444,Risutoranteazekura  ,Kitayama,Italian,Restaurants (other),3.07
445,Saryouhassui  ,Arashiyama,Cafe,Sweets,3.51
446,Sala Suite Caffe Rucola   ,Shijo,Italian,Cafe,3.38
447,Apollo+  ,Karasuma Oike,Izakaya (Tavern),Seafood,3.52
448,Houen  ,Shijo,Teppanyaki,NA,3.07
449,Furenchiman  ,Kyoto,Bistro,Seafood,3.51
450,Arigatou  ,Keihan Yamashina,Izakaya (Tavern),Yakiniku (BBQ Beef),3.02
451,Kyousainikushima  ,Kawaramachi,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.03
452,kurabuhausuminami  ,Kyoto,Izakaya (Tavern),Korean cuisine,3.05
453,Pittsusarubatorekuomoandoguriru  ,Sanjo,Pizza,Italian,3.07
454,Fresco  ,Kyoto,Izakaya (Tavern),Spain,3.03
455,Rengetsudiya  ,Higashiyama,Tofu,Yuba,3.11
456,gyuukushibunzou  ,Sanjo,Izakaya (Tavern),Sumibiyaki,3.04
457,PREGO TOKICHI  ,Kyoto Shiyakusho Mae,Italian,Sumibiyaki,3.2
458,sumibiyakiyasaiyaoki  ,Kyoto Shiyakusho Mae,Tempura,Izakaya (Tavern),3.05
459,Osakanazukkorobashi  ,Kyoto,Izakaya (Tavern),Japanese food (other),3
460,Torimasa  ,Kutsukawa,Izakaya (Tavern),Fowl,3
461,Aguuru  ,Karasuma Oike,Okinawan Cuisine,Izakaya (Tavern),3.5
462,Yakinikunonki  ,Higashino,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.07
463,Adan  ,Kyoto,Izakaya (Tavern),Okinawan Cuisine,3.31
464,Oushokuyakappa  ,Shijo,Italian,Bar,3.06
465,Minari  ,Kyoto,Korean cuisine,table d'hôte,3.05
466,Daichinokura  ,Higashi Maizuru,Izakaya (Tavern),NA,3.05
467,sumibisute-kisakaikyoutosanjou  ,Karasuma Oike,Steak,Kaiseki (Traditional Japanese),3.5
468,Ryuuhourakuenchura  ,Nishi Maizuru,Okinawan Cuisine,Izakaya (Tavern),3
469,Byuandodainingukotoshieru  ,Kyoto,Modern French,Italian,3.42
470,Karin  ,Nijojo Mae,Chinese,Dandan noodles,3.51
471,Fujiya  ,Sanjo,Kyoto Cuisine,Kaiseki (Traditional Japanese),3.09
472,Kyoutokimurayahonten  ,Gion Shijo,Izakaya (Tavern),Sukiyaki,3.04
473,Joukoya  ,Karasuma,Izakaya (Tavern),Seafood,3.22
474,Nikukappoubarugyugyu  ,Gion Shijo,Bar,Izakaya (Tavern),3.06
475,furenchigiombarumaruhashi  ,Gion Shijo,Bar,French,3.54
476,nikubaruginjirou  ,Karasuma Oike,Bar,Italian,3.52
477,Sumibikushiyakitsujiya  ,Kyoto,Izakaya (Tavern),Kushiyaki (Grilled skewer),3.05
478,Gyararishioriya  ,Kyoto,Izakaya (Tavern),Nihonshu (Japanese sake),3.27
479,Kyounishikiobanzaibyuffehinataya  ,Kawaramachi,Buffet style,Kyoto Cuisine,3.03
480,kamanzanijoumarufuku  ,Marutamachi,Izakaya (Tavern),Tempura,3.45
481,coLLabo  ,Karasuma Oike,Cafe,Hamburger Steak,3.27
482,tonkotsunabetogyouzaenraku  ,Shijo,Izakaya (Tavern),Motsu Nabe (Offel Hot Pot),3.04
483,Ryuuan  ,Gion Shijo,Yakiniku (BBQ Beef),Japanese food (other),3.22
484,Ace cafe  ,Sanjo,Cafe,Dining bar,3.09
485,Resutoranrejina  ,Kyoto,Western Food (Other),Buffet style,3.03
486,Akasaki  ,Shichijo,Izakaya (Tavern),Kyoto Cuisine,3.05
487,Ozabu  ,Sanjo,Izakaya (Tavern),Kyoto Cuisine,3.06
488,Sutekiandodainaburuba  ,Saiin,Bar,Steak,3.04
489,Yakinikuyoshimi  ,Jingu Marutamachi,Yakiniku (BBQ Beef),Steak,3.58
490,sute-kihausupondo  ,Marutamachi,Steak,Hamburger Steak,3.2
