ID,Name,Station,FirstCategory,SecondCategory,TotalRating
826,Bisutoroya  ,Kyoto,Izakaya (Tavern),Bistro,3
827,THE AGLIO GARDEN  ,Gion Shijo,Dining bar,Creative cuisine,3.03
828,Ichiyoshi  ,Kyotanabe,Yakiniku (BBQ Beef),Izakaya (Tavern),3.5
829,Yukari  ,Shijo,Chinese,Izakaya (Tavern),3.32
830,RH Cafe  ,Kawaramachi,Cafe,NA,3.39
831,Suiba  ,Kyoto Shiyakusho Mae,Stand Bar,Dining bar,3.55
832,menkiya  ,Kawaramachi,Ramen,Chinese,3.08
833,Kinkao  ,Shichijo,Thailand cooking,Thai Curry,3.55
834,Ujisoukokoro  ,Uji,Dining bar,Creative cuisine,3.07
835,Domadoma  ,Sanjo,Izakaya (Tavern),Yakitori (Grilled chicken),3.02
836,Chikyuuizakayashibuya  ,Nagitsuji,Izakaya (Tavern),Japanese food (other),3
837,Ginzaraion  ,Shijo,Dining bar,Beer,3.03
838,ORTO  ,Karasuma Oike,Innovative cuisine,Fusion cuisine,4.06
839,tsujiriheehonten  ,Uji,Parfait,Japan tea shoppe,3.54
840,Haroukithisaryou  ,Gion Shijo,Cafe,Kyoto Cuisine,3.53
841,Minamiyawagyuudou  ,Kitaoji,Yakiniku (BBQ Beef),Horumon (BBQ Offel),3.04
842,Toretatedaininguyagyuu  ,Narayama,Kaiseki (Traditional Japanese),Izakaya (Tavern),3.27
843,Itoudainingu  ,Gion Shijo,Teppanyaki,Steak,3.33
844,Saradanomisesancho  ,Fushimi Momoyama,Hamburger Steak,Western (Others),3.08
845,eruku  ,Kawaramachi,Pancake,Cafe,3.53
846,Teinojikafe  ,Kyoto Shiyakusho Mae,Cafe,Coffee shoppe,3.55
847,Sumibiyakitorikou  ,Kawaramachi,Yakitori (Grilled chicken),Izakaya (Tavern),3.02
848,Maboroshinochuukasobakatouyashijounibojirou  ,Shijo,Ramen,Chinese,3.51
849,Kyouryouriujigawaryokan  ,Uji,Ryokan,NA,3.04
850,Obanzaitatsunosuke  ,Kawaramachi,Japanese food (other),Izakaya (Tavern),3.3
851,kyounosozaiyatoku  ,Kujo,Izakaya (Tavern),Dining bar,3.07
852,Kankokusakuratei  ,Shijo,Yakiniku (BBQ Beef),Korean cuisine,3.16
853,Shisen  ,Kyoto,Sichuan Cuisine,Cantonese Cuisine,3.08
854,Barubera  ,Saiin,Italian,Pasta,3.09
855,Yubasen  ,Kokusaikaikan,Tofu,Yuba,3.51
856,Ibushigin  ,Sanjo,Izakaya (Tavern),Dining bar,3.06
857,Irujeko  ,Shijo,Italian,Pasta,3.52
858,Anju  ,Arashiyama,Tofu,Yuba,3
859,Genkiya  ,Nagaokakyo,Izakaya (Tavern),Seafood,3.23
860,Gohanya  ,Karasuma Oike,Izakaya (Tavern),Dining bar,3.05
861,Kyouwasabi  ,Fukakusa,Pork Shabu Shabu,Kyoto Cuisine,3.08
862,kyoutoebisuya  ,Kitaoji,Izakaya (Tavern),Oden,3
863,Rakudaya  ,Saiin,Genghis Khan (BBQ Rum),Motsu Nabe (Offel Hot Pot),3.06
864,Shouentei  ,Kiyomizu Gojo,Chinese,Ramen,3.14
865,Nishikihenkotsu  ,Kawaramachi,Yakiniku (BBQ Beef),Izakaya (Tavern),3.51
